method,seed,rollouts_per_target,median_E_ratio,p25_E_ratio,p75_E_ratio,frac_within_2pct
bptt,9,50,1.1603768531492828,1.0896161009185532,1.1981942446160438,0.01
bptt,9,75,1.1279870061059647,1.074274289617176,1.190852464030005,0.05
bptt,9,100,1.1252650252354215,1.07709897825721,1.2023474531883092,0.07
bptt,9,125,1.1295653746048606,1.0788870987163899,1.2150413732831575,0.06
bptt,9,150,1.117632595986281,1.0737711322154482,1.17902894523194,0.05
bptt,6,1,1.594107204616015,1.3572866268806552,2.031032781431789,0.0
bptt,6,2,1.5236432060272704,1.3309954546069875,1.9138944602383292,0.0
bptt,6,5,1.335478583581469,1.2514803969139447,1.5590963071267334,0.0
bptt,6,10,1.197247973537681,1.1088033653216058,1.2593539372297347,0.04
bptt,6,25,1.1486143315684227,1.0845917786798078,1.2715640028770945,0.01
bptt,6,50,1.1248726335740205,1.0753532843718692,1.1963787421385703,0.015
bptt,6,75,1.1340595301739698,1.0801030886324268,1.1872318560582271,0.01
bptt,6,100,1.1265721636205281,1.0780126222488617,1.1940512049165544,0.055
bptt,6,125,1.1231363730755413,1.0767343960267817,1.1900139973451145,0.06
bptt,6,150,1.1264552514046424,1.0737286759595182,1.1891617009609456,0.05
bptt,8,1,1.6304678973380624,1.3569880443961664,2.0892097743634124,0.0
bptt,8,2,1.581192309383531,1.3283848388997466,2.0036164738366047,0.0
bptt,8,5,1.3645715761032045,1.2295708992503802,1.6600657909169363,0.0
bptt,8,10,1.2765850964771388,1.1943457997265694,1.373433992032031,0.0
bptt,8,25,1.1401506305306874,1.080577639444138,1.2173673285449231,0.01
bptt,8,50,1.1761207841016112,1.0969424163003854,1.219454331130036,0.01
bptt,8,75,1.137063593976242,1.0755881146273325,1.1927545049938155,0.025
bptt,8,100,1.118517128286684,1.0763276741251344,1.185285535776738,0.045
bptt,8,125,1.1288709578489136,1.075707250643255,1.20218494228968,0.06
bptt,8,150,1.1263273343035296,1.0736573736260506,1.195631067186408,0.05
bo,2,1,1.8688264596113866,1.299904727179017,2.779218187083573,0.005
bo,2,2,1.442993926536306,1.194353624676978,1.9988460259715453,0.005
bo,2,3,1.3104914281346387,1.1704554182192073,1.6453458894261188,0.005
bo,2,4,1.2677844589916707,1.1419263570031577,1.5318211162775395,0.01
bo,2,5,1.2376536818183599,1.1333149547991521,1.429353684633387,0.015
bo,2,6,1.1748554453187223,1.0907715870285912,1.2842457255142121,0.055
bo,2,7,1.121053848128346,1.0579331766905014,1.2303599508977883,0.095
bo,2,8,1.0919092611660777,1.046410038428206,1.1813067770234058,0.145
bo,2,9,1.0760982253766627,1.0283555050999449,1.1524458946277498,0.185
bo,2,10,1.0625448702355906,1.0211390767145805,1.1240129332258895,0.24
bo,2,11,1.0514593421331109,1.0126670118581385,1.104777785351811,0.295
bo,2,12,1.0456976709836994,1.0111231568831314,1.0940878708746395,0.33
bo,2,13,1.0290694661898767,1.0065405764354012,1.0847289108583928,0.41
bo,2,14,1.0240253730994457,1.0049609653632277,1.0754532232839211,0.465
bo,2,15,1.0190218235787962,1.0039808161737203,1.0677600566646976,0.51
bo,2,16,1.015614435462435,1.0038240771746558,1.066513616815169,0.55
bo,2,17,1.0129349125866978,1.0031403861071655,1.0589442335260082,0.575
bo,2,18,1.0115375329286493,1.0022472817121828,1.052906737852957,0.595
bo,2,19,1.0102812382082553,1.0017400314442526,1.045258172149556,0.615
bo,2,20,1.0090722232364775,1.0014774958685968,1.0440553249178115,0.645
bo,2,21,1.007329669246234,1.00080162936885,1.0325617530339073,0.68
bo,2,22,1.006460169526267,1.0006362578398367,1.0273441716178606,0.705
bo,2,23,1.0051246081635188,1.0003740379522157,1.0247574395260377,0.715
bo,2,24,1.0043335306417625,1.000135903938385,1.0202999232050143,0.745
bo,2,25,1.0039941069328555,1.0001042222144982,1.019603928237778,0.76
bo_distilled,2,25,1.0878175089719333,1.0369056492749755,1.139607420154837,0.155
bo,0,1,2.0046098958881675,1.3844867763144133,3.044246814814452,0.005
bo,0,2,1.473390929666988,1.2553208830834277,2.1250270539857112,0.015
bo,0,3,1.3531068818375116,1.1814264863764399,1.7403805575581124,0.02
bo,0,4,1.2820094996980869,1.1489037173430732,1.5137492028552986,0.02
bo,0,5,1.2519948725373866,1.1338226132617149,1.4529733021395832,0.02
bo,0,6,1.1668707774067002,1.0876660548069799,1.289802638337403,0.05
bo,0,7,1.1245156291077434,1.0676113578251176,1.2221300105028563,0.085
bo,0,8,1.096116507950049,1.0450953455411105,1.1941701004786727,0.09
bo,0,9,1.0823648023935286,1.0349174405777124,1.1430761881606593,0.155
bo,0,10,1.0613206032718998,1.0271378719172208,1.1152659585891753,0.21
bo,0,11,1.0572493047179137,1.017229390540759,1.1046886855309024,0.26
bo,0,12,1.047136987466051,1.0122887030422383,1.103074155438092,0.305
bo,0,13,1.0357920470108464,1.0110101970946228,1.0873613085089222,0.33
bo,0,14,1.0310032181345388,1.009693232406959,1.0826287364552736,0.375
bo,0,15,1.026660569483322,1.0090349877844416,1.0687111373440814,0.42
bo,0,16,1.0217687789343524,1.0061848246397842,1.0617134162662765,0.465
bo,0,17,1.0170425320883458,1.005053487946207,1.0550678673116685,0.51
bo,0,18,1.0154767017813828,1.0046273403649606,1.051288165437501,0.545
bo,0,19,1.0139714236664144,1.004249190462383,1.0442784428200076,0.585
bo,0,20,1.0126945043020217,1.0027911905746325,1.040783342698482,0.605
bo,0,21,1.0094249697346465,1.0017151343411714,1.032999513072345,0.65
bo,0,22,1.0073511499100087,1.0015697605194085,1.0269285617050077,0.675
bo,0,23,1.006811329961708,1.0015697605194085,1.02531370805641,0.705
bo,0,24,1.00594962930323,1.0009671490029655,1.0210029899438648,0.74
bo,0,25,1.0056916573985277,1.0007303579847688,1.018480762346564,0.76
bo_distilled,0,25,1.0568622211709986,1.0299922238043369,1.111588079737933,0.125
bo,3,1,1.83751463046139,1.4035211919958848,2.789420098200446,0.0
bo,3,2,1.441340478572048,1.2169956487412559,1.927999449869559,0.015
bo,3,3,1.30876708210198,1.1838378822508446,1.6474368463820535,0.015
bo,3,4,1.252415339274364,1.1439982583576151,1.4564454350710108,0.015
bo,3,5,1.2362817887739836,1.1207754029963761,1.3949798001438305,0.02
bo,3,6,1.1720624159913917,1.0918606982354095,1.2824945106498657,0.045
bo,3,7,1.1279751925323027,1.0631148478911143,1.2362938142347555,0.07
bo,3,8,1.097694672259804,1.0555268849561186,1.1810844939362617,0.115
bo,3,9,1.0820777428229091,1.0422094854724386,1.1566154090976941,0.16
bo,3,10,1.0671063147495232,1.0313899561654734,1.1367554956532746,0.215
bo,3,11,1.0579745734842287,1.019833325687701,1.109697006151507,0.255
bo,3,12,1.047747142224984,1.0170348640695304,1.0956836796041383,0.315
bo,3,13,1.0395364759168078,1.0146517692477137,1.0837873570761825,0.345
bo,3,14,1.0301826986347749,1.0079102587860056,1.0718765727468704,0.42
bo,3,15,1.0261056761675382,1.0046855780016848,1.0624387384505978,0.465
bo,3,16,1.0231624733519613,1.0041920522737295,1.0582258530714963,0.49
bo,3,17,1.0183274755677036,1.0039306330314095,1.0501618016431282,0.545
bo,3,18,1.0161167727594251,1.0031197271840104,1.0467309946802306,0.57
bo,3,19,1.012186959341053,1.0025697034402443,1.0362898546970194,0.625
bo,3,20,1.0102279051410514,1.0021511633270375,1.0345146489870953,0.635
bo,3,21,1.0079804609183893,1.001993646684928,1.032545766164366,0.665
