delay_ms,scope,trigger_mode,controller,n,arrival_pct,n_diverged,failed_3x_pct,median_t_end_s,median_e_total_Cl1m,median_cross_track_rmse_m,median_peak_V,median_sup_dv,median_sup_dw,wall_s
50,all,measured,pid_table3,300,100.00,0,68.67,5.8690,1130.893,0.053792,3.2321,0.26867,1.06730,25.0
100,pose,oracle,ours_bptt,300,100.00,0,27.00,3.9195,675.601,0.029674,4.5050,0.28846,3.49216,9.0
100,pose,oracle,ours_dr,300,100.00,0,38.33,4.6515,683.116,0.023032,4.1623,0.23206,3.43926,13.2
100,pose,oracle,pnn_bf,300,100.00,0,24.00,3.4770,797.435,0.027780,4.5375,0.29100,2.61570,12.1
100,pose,oracle,lyap1,300,100.00,0,22.33,3.4580,552.820,0.026182,3.8565,0.24399,2.13838,11.5
100,pose,oracle,lyap2,300,100.00,0,62.00,6.5730,886.071,0.014112,3.4528,0.16800,2.85488,19.0
100,pose,oracle,pid_table3,300,100.00,0,73.33,6.2535,1424.823,0.047951,3.1915,0.26841,1.05674,19.5
100,pose,measured,ours_bptt,300,100.00,0,28.00,4.0195,718.276,0.029327,4.5050,0.28846,3.49216,11.3
100,pose,measured,ours_dr,300,100.00,0,40.00,4.7515,687.456,0.022804,4.1623,0.23206,3.43926,14.0
100,pose,measured,pnn_bf,300,100.00,0,25.33,3.5770,844.082,0.027418,4.5375,0.29100,2.61570,11.9
100,pose,measured,lyap1,300,100.00,0,23.67,3.5580,558.383,0.025788,3.8565,0.24399,2.13838,10.1
100,pose,measured,lyap2,300,100.00,0,63.33,6.6730,903.645,0.013999,3.4528,0.16800,2.85488,12.8
100,pose,measured,pid_table3,300,100.00,0,74.33,6.3535,1440.551,0.047556,3.1915,0.26841,1.05674,20.8
100,wheels,oracle,ours_bptt,300,100.00,0,32.33,4.1115,496.367,0.013060,4.7573,0.32899,3.49216,9.9
100,wheels,oracle,ours_dr,300,100.00,0,45.00,5.1865,638.871,0.009840,4.3774,0.26340,3.43926,15.4
100,wheels,oracle,pnn_bf,300,100.00,0,23.33,3.6245,415.068,0.013954,4.8655,0.33588,2.61570,9.3
100,wheels,oracle,lyap1,300,100.00,0,32.67,4.2330,505.415,0.014710,4.1228,0.27396,2.13838,6.2
100,wheels,oracle,lyap2,300,100.00,0,72.67,7.2650,969.158,0.007378,3.6403,0.19015,2.85488,12.9
100,wheels,oracle,pid_table3,300,100.00,0,65.33,5.8440,990.072,0.055005,3.3614,0.26858,1.07275,12.8
100,wheels,measured,ours_bptt,300,100.00,0,32.33,4.1115,496.367,0.013060,4.7573,0.32899,3.49216,4.9
100,wheels,measured,ours_dr,300,100.00,0,45.00,5.1865,638.871,0.009840,4.3774,0.26340,3.43926,11.3
100,wheels,measured,pnn_bf,300,100.00,0,23.33,3.6245,415.068,0.013954,4.8655,0.33588,2.61570,8.2
100,wheels,measured,lyap1,300,100.00,0,32.67,4.2330,505.415,0.014710,4.1228,0.27396,2.13838,4.4
100,wheels,measured,lyap2,300,100.00,0,72.67,7.2650,969.158,0.007378,3.6403,0.19015,2.85488,10.3
100,wheels,measured,pid_table3,300,100.00,0,65.33,5.8440,990.072,0.055005,3.3614,0.26858,1.07275,14.9
100,all,oracle,ours_bptt,300,100.00,0,31.67,4.1920,578.522,0.025524,5.0964,0.33326,3.49216,6.9
100,all,oracle,ours_dr,300,100.00,0,44.33,5.0125,691.725,0.020105,4.7214,0.26827,3.43926,11.2
100,all,oracle,pnn_bf,300,100.00,0,22.00,3.5900,541.758,0.024720,5.0148,0.33981,2.61570,8.4
100,all,oracle,lyap1,300,100.00,0,25.00,3.8030,450.135,0.020672,4.2121,0.27516,2.13838,10.5
100,all,oracle,lyap2,300,100.00,0,70.00,6.9625,942.268,0.011395,3.8183,0.19427,2.85488,17.0
100,all,oracle,pid_table3,300,100.00,0,67.67,5.7530,1067.064,0.053335,3.4625,0.26894,1.07786,21.3
100,all,measured,ours_bptt,300,100.00,0,33.33,4.2920,596.101,0.025229,5.0964,0.33326,3.49216,12.0
100,all,measured,ours_dr,300,100.00,0,45.33,5.1125,706.711,0.019908,4.7214,0.26827,3.43926,10.3
100,all,measured,pnn_bf,300,100.00,0,23.33,3.6900,583.314,0.024409,5.0148,0.33981,2.61570,12.4
100,all,measured,lyap1,300,100.00,0,26.33,3.9030,464.173,0.020408,4.2121,0.27516,2.13838,7.3
100,all,measured,lyap2,300,100.00,0,70.67,7.0625,955.580,0.011320,3.8183,0.19427,2.85488,16.6
100,all,measured,pid_table3,300,100.00,0,68.67,5.8530,1117.917,0.052888,3.4625,0.26894,1.07786,21.1
125,pose,oracle,ours_bptt,300,100.00,0,30.33,4.3685,859.683,0.033346,4.5519,0.28962,3.49216,12.8
125,pose,oracle,ours_dr,300,100.00,0,41.67,4.9295,784.642,0.026637,4.2206,0.23229,3.43926,13.6
125,pose,oracle,pnn_bf,300,100.00,0,26.00,3.9555,856.514,0.031554,4.5886,0.29477,2.66835,8.5
125,pose,oracle,lyap1,300,100.00,0,22.67,3.4930,594.505,0.029417,3.8722,0.24530,2.13838,6.0
125,pose,oracle,lyap2,300,100.00,0,61.33,6.5660,896.544,0.016270,3.4861,0.16951,2.85488,13.5
125,pose,oracle,pid_table3,300,100.00,0,71.33,6.3165,1451.993,0.046521,3.2154,0.26841,1.05674,14.0
125,pose,measured,ours_bptt,300,100.00,0,32.67,4.4935,884.429,0.032884,4.5519,0.28962,3.49216,11.4
125,pose,measured,ours_dr,300,100.00,0,44.00,5.0545,807.477,0.026265,4.2206,0.23229,3.43926,10.0
125,pose,measured,pnn_bf,300,100.00,0,27.00,4.0805,969.871,0.031105,4.5886,0.29477,2.70865,10.0
125,pose,measured,lyap1,300,100.00,0,24.33,3.6180,632.574,0.028914,3.8722,0.24530,2.13838,7.0
125,pose,measured,lyap2,300,100.00,0,62.67,6.6910,922.928,0.016118,3.4861,0.16951,2.85488,10.4
125,pose,measured,pid_table3,300,100.00,0,73.33,6.4415,1508.664,0.046055,3.2154,0.26841,1.05674,15.9
125,wheels,oracle,ours_bptt,300,100.00,0,33.33,4.2555,506.582,0.012335,4.9640,0.34232,3.49216,7.2
125,wheels,oracle,ours_dr,300,100.00,0,46.67,5.3175,656.641,0.009435,4.5815,0.27238,3.43926,6.9
125,wheels,oracle,pnn_bf,300,100.00,0,26.00,3.7710,449.260,0.013261,5.0603,0.34978,2.61570,7.7
125,wheels,oracle,lyap1,300,100.00,0,33.33,4.3710,528.687,0.013811,4.2617,0.28562,2.13838,9.6
125,wheels,oracle,lyap2,300,100.00,0,75.00,7.3630,984.042,0.006949,3.8078,0.19853,2.85488,15.1
125,wheels,oracle,pid_table3,300,100.00,0,64.33,5.8870,983.660,0.055088,3.4933,0.26858,1.07436,15.7
125,wheels,measured,ours_bptt,300,100.00,0,33.33,4.2555,506.582,0.012335,4.9640,0.34232,3.49216,8.2
125,wheels,measured,ours_dr,300,100.00,0,46.67,5.3175,656.641,0.009435,4.5815,0.27238,3.43926,9.9
125,wheels,measured,pnn_bf,300,100.00,0,26.00,3.7710,449.260,0.013261,5.0603,0.34978,2.61570,11.2
125,wheels,measured,lyap1,300,100.00,0,33.33,4.3710,528.687,0.013811,4.2617,0.28562,2.13838,8.5
125,wheels,measured,lyap2,300,100.00,0,75.00,7.3630,984.042,0.006949,3.8078,0.19853,2.85488,15.3
125,wheels,measured,pid_table3,300,100.00,0,64.33,5.8870,983.660,0.055088,3.4933,0.26858,1.07436,18.2
125,all,oracle,ours_bptt,300,100.00,0,39.00,4.7750,774.087,0.029181,5.4212,0.34574,3.56494,10.8
125,all,oracle,ours_dr,300,100.00,0,50.00,5.4255,810.416,0.023020,4.9950,0.28202,3.43926,13.8
125,all,oracle,pnn_bf,300,100.00,0,26.67,3.9240,626.876,0.028888,5.2532,0.35251,2.69227,8.5
125,all,oracle,lyap1,300,100.00,0,26.00,3.8805,473.421,0.021759,4.3537,0.28922,2.13838,7.0
125,all,oracle,lyap2,300,100.00,0,71.33,7.0450,968.523,0.013043,4.0244,0.20039,2.85488,13.3
125,all,oracle,pid_table3,300,100.00,0,67.67,5.7155,1056.682,0.052757,3.6179,0.26908,1.08314,16.9
125,all,measured,ours_bptt,300,100.00,0,40.33,4.9000,815.935,0.028818,5.4212,0.34574,3.56494,8.5
125,all,measured,ours_dr,300,100.00,0,50.67,5.5505,831.043,0.022757,4.9950,0.28202,3.43926,14.0
125,all,measured,pnn_bf,300,100.00,0,27.33,4.0490,665.174,0.028435,5.2532,0.35251,2.69227,10.2
125,all,measured,lyap1,300,100.00,0,27.00,4.0055,489.292,0.021411,4.3537,0.28922,2.13838,7.9
125,all,measured,lyap2,300,100.00,0,72.67,7.1700,983.945,0.012933,4.0244,0.20039,2.85488,12.0
125,all,measured,pid_table3,300,100.00,0,69.00,5.8405,1120.036,0.052183,3.6179,0.26908,1.08314,15.8
150,pose,oracle,ours_bptt,300,100.00,0,41.67,5.0935,1019.161,0.036471,4.6381,0.29133,3.49216,7.9
150,pose,oracle,ours_dr,300,100.00,0,47.33,5.4720,943.790,0.029348,4.2796,0.23355,3.43926,8.8
150,pose,oracle,pnn_bf,300,100.00,0,31.67,4.6745,1125.469,0.034786,4.6168,0.29607,2.89288,6.6
150,pose,oracle,lyap1,300,100.00,0,24.00,3.5950,699.775,0.032661,3.8872,0.24597,2.13838,5.7
150,pose,oracle,lyap2,300,100.00,0,61.33,6.5760,935.811,0.018599,3.5145,0.17182,2.85488,7.6
150,pose,oracle,pid_table3,300,100.00,0,69.33,6.3935,1525.599,0.045918,3.2394,0.26841,1.05674,7.7
150,pose,measured,ours_bptt,300,100.00,0,43.67,5.2435,1048.881,0.035803,4.6381,0.29133,3.49216,8.8
150,pose,measured,ours_dr,300,100.00,0,49.67,5.6220,987.935,0.028909,4.2796,0.23355,3.43926,9.5
150,pose,measured,pnn_bf,300,100.00,0,35.67,4.8245,1109.195,0.034195,4.6168,0.29607,2.91128,7.9
